Id,Match,Score Equipe 1,Score Equipe 2
00455e6b-de3e-4432-bdfe-0533fee95b73,Italie - Namibie,67,33
10d783fa-8129-473c-85a2-56737dddd7a9,Irlande - Roumanie,76,24
10e2257b-5e17-4be8-9729-1acfebf3f7c2,Angleterre - Japon,90,10
1859ae70-f837-4110-aa97-6b31f1a2607b,Afrique du Sud - Roumanie,95,5
18c2b55d-ef42-4fce-b5a3-10ddb68b400c,Australie - Fidji,80,20
1a3bd0e2-fb4f-4ce2-b97b-e75b1daac76a,Afrique du Sud - Écosse,55,45
1d9a01fa-de31-469b-a1f7-9c48b5ce08cb,Nouvelle-Zélande - Namibie,100,0
3be808d7-0e8b-4bb1-a3a4-22b7bf7ec5b8,France - Nouvelle-Zélande,50,50
4436f9a1-7144-4dfd-acb1-2865d6dc474b,Japon - Chile,60,40
526dc3ed-f8fb-49e7-95de-8fb8eb26bfe0,Samoa - Chile,55,45
633db363-8015-4eea-a73f-a080e3f68cf4,France - Uruguay,80,20
692cdf3f-747c-438f-a39e-b3cbda9714bb,Pays de Galles - Portugal,85,15
6cf1497c-f9b8-45d7-894a-0b9f22cdb556,Pays de Galles - Australie,35,65
7f2b1390-ce4f-43d4-a08f-f0fc01f774c5,France - Nouvelle-Zélande,60,40
907a872c-5abc-42c7-a2f6-8819c835cb4f,Afrique du Sud - Irlande,65,35
9ef55334-53df-408a-93e8-e99dff7fda96,Irlande - Tonga,67,33
b76de3d2-9d92-471c-9ae1-a9129f91f9fb,Angleterre - Argentine,78,22
e75490c3-de21-463d-9960-afdd3b821cbc,Australie - Géorgie,90,10
f1f73079-80f9-4eb5-b8b1-29fc13746fe7,Pays de Galles - Fidji,85,15
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
